symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown
EURUSD,H4,PatchTST,8,1077,0.44875,0.4521819870009285,0.8835749893394446,0.7293237623869653,-0.21780505151594576,0.23022028230039848
EURUSD,H4,PatchTST,10,840,0.35,0.4654761904761905,0.8555918251279793,0.7450699412584407,-0.16361163204628248,0.1734223495105417
EURUSD,H4,PatchTST,12,666,0.2775,0.466966966966967,0.8373173125686018,0.7335371386164371,-0.14497712942549046,0.1551859511409608
EURUSD,H4,PatchTST,15,444,0.185,0.4617117117117117,0.8389858719412325,0.719632233255032,-0.11182549930869845,0.11955716931587945
EURUSD,H4,PatchTST,20,239,0.09958333333333333,0.4769874476987448,0.866308869292442,0.7900736887947072,-0.04996800111035016,0.06830207888387085
GBPUSD,M15,PatchTST,0,2400,1.0,0.30916666666666665,0.8366265766470106,0.37441310004347517,-0.3833514262251786,0.3833514262251786
GBPUSD,M15,PatchTST,3,822,0.3425,0.3491484184914842,0.9083300580733566,0.4872723862935577,-0.1337306164377705,0.1337306164377705
GBPUSD,M15,PatchTST,5,362,0.15083333333333335,0.3812154696132597,0.955466398140965,0.5886355488547017,-0.052137451350311115,0.052267362486189906
GBPUSD,M15,PatchTST,8,136,0.056666666666666664,0.40441176470588236,1.161336112513156,0.7885615578793035,-0.010898717950830528,0.01656738690575721
GBPUSD,M15,PatchTST,10,68,0.028333333333333332,0.4852941176470588,0.8685851646229701,0.8189517266445145,-0.004690723062655944,0.01076286389065384
GBPUSD,M15,PatchTST,12,37,0.015416666666666667,0.4864864864864865,0.98036429854674,0.9287661775705958,-0.0009726220087993287,0.005107002715276865
GBPUSD,M15,PatchTST,15,20,0.008333333333333333,0.55,1.3550871438749312,1.6562176202915826,0.0029420166943630033,0.0011521009906951818
GBPUSD,M15,PatchTST,20,3,0.00125,0.3333333333333333,0.5966719216351409,0.29833596081757047,-0.0008980189316927234,0.0010943373832142944
GBPUSD,H1,PatchTST,0,2400,1.0,0.38125,0.8746934510930667,0.5389525304714855,-0.3792421746957113,0.38220682790592186
GBPUSD,H1,PatchTST,3,1367,0.5695833333333333,0.3986832479882955,0.8587888496746512,0.5693916339083759,-0.2287603091199114,0.23228270177826205
